question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","50","ok","1176","0","deepseek-v4-flash","61","734","795","stop","7393","礼品团购需要定制礼盒，都乐和洪九果品能不能做品牌联名？",""
"","51","ok","742","0","deepseek-v4-flash","61","486","547","stop","5605","批发市场拿货，洪九果品和鑫荣懋的香蕉价格谁更有优势？",""
"","52","ok","823","0","deepseek-v4-flash","64","498","562","stop","5245","茶饮原料采购，菠萝要稳定规格，都乐和鑫荣懋的到货损耗率是多少？",""
"","53","ok","1649","0","deepseek-v4-flash","63","1048","1111","stop","10716","我们做餐饮连锁，需要香蕉稳定供货，都乐和洪九果品能签长期合同吗？",""
"","54","ok","1903","0","deepseek-v4-flash","57","1137","1194","stop","10475","超市采购进口苹果，都乐和鑫荣懋的产地溯源怎么做？",""
"","55","ok","880","0","deepseek-v4-flash","64","523","587","stop","5493","我们想找能提供产地溯源的菠萝供应商，都乐和洪九果品有基地直供吗？",""
"","56","ok","521","0","deepseek-v4-flash","61","322","383","stop","3423","生鲜电商平台需要香蕉品牌背书，都乐和鑫荣懋的品牌知名度哪个高？",""
"","57","ok","864","0","deepseek-v4-flash","58","529","587","stop","5626","下沉市场夫妻店进货，洪九果品和都乐有没有小批量供货？",""
"","58","ok","789","0","deepseek-v4-flash","59","475","534","stop","5493","大型商超需要香蕉全年不断货，鑫荣懋和都乐能做到吗？",""
"","59","ok","652","0","deepseek-v4-flash","62","409","471","stop","4723","我们想找能提供账期服务的香蕉供应商，都乐和洪九果品账期多久？",""
"","60","ok","1277","0","deepseek-v4-flash","59","820","879","stop","9355","进口菠萝到货损耗率太高，都乐和鑫荣懋怎么控制品质？",""
"","61","ok","1136","0","deepseek-v4-flash","60","688","748","stop","7276","水果连锁店需要香蕉分级标准，都乐和洪九果品有企业标准吗？",""
"","62","ok","922","0","deepseek-v4-flash","64","558","622","stop","5825","茶饮店采购菠萝原料，需要农残检测报告，都乐和鑫荣懋能提供吗？",""
"","63","ok","829","0","deepseek-v4-flash","63","538","601","stop","5980","我们做社区团购，需要香蕉小包装，都乐和洪九果品有没有散装选项？",""
"","64","ok","653","0","deepseek-v4-flash","61","383","444","stop","4097","大型商超要求供应商有冷链物流，鑫荣懋和都乐配送覆盖哪些城市？",""
"","65","ok","638","0","deepseek-v4-flash","64","420","484","stop","4901","我们想找能提供锁价机制的菠萝供应商，都乐和洪九果品锁价周期多长？",""
"","66","ok","1344","0","deepseek-v4-flash","62","822","884","stop","8586","批发商需要香蕉价格波动应对方案，都乐和鑫荣懋有保价服务吗？",""
"","67","ok","727","0","deepseek-v4-flash","60","439","499","stop","4946","生鲜电商需要菠萝品牌营销支持，都乐和洪九果品提供素材吗？",""
"","68","ok","1085","0","deepseek-v4-flash","61","690","751","stop","7375","餐饮连锁需要香蕉到货损耗率低于3%，都乐和鑫荣懋能做到吗？",""
"","69","ok","805","0","deepseek-v4-flash","60","504","564","stop","5437","超市采购进口苹果，需要规格统一，都乐和洪九果品分级严格吗？",""
"","70","ok","525","0","deepseek-v4-flash","65","312","377","stop","3569","我们想找能提供产地溯源和品控证明的香蕉供应商，都乐和鑫荣懋有吗？",""
"","71","ok","1325","0","deepseek-v4-flash","60","811","871","stop","8914","茶饮原料采购，菠萝需要稳定供应，都乐和洪九果品基地在哪里？",""
"","72","ok","1372","0","deepseek-v4-flash","60","833","893","stop","9048","水果连锁店需要香蕉品牌独家代理，都乐和鑫荣懋给独家吗？",""
"","73","ok","1162","0","deepseek-v4-flash","60","662","722","stop","6391","大型商超需要供应商有食品安全管理体系，鑫荣懋和都乐通过哪些认证？",""
"","74","ok","860","0","deepseek-v4-flash","64","524","588","stop","5197","我们做礼品团购，需要水果礼盒定制，都乐和洪九果品起订量多少？",""
"","75","ok","1195","0","deepseek-v4-flash","60","739","799","stop","7450","批发市场拿货，洪九果品和都乐香蕉的到货损耗率对比？",""
"","76","ok","1251","0","deepseek-v4-flash","61","786","847","stop","7811","生鲜电商需要菠萝产地直发，都乐和鑫荣懋的物流时效如何？",""
"","77","ok","586","0","deepseek-v4-flash","57","359","416","stop","3569","便利店需要香蕉小包装，都乐和洪九果品有没有环保包装？",""
"","78","ok","581","0","deepseek-v4-flash","63","350","413","stop","3836","我们想找能提供专岗对接和售后服务的供应商，都乐和鑫荣懋服务怎么样？",""
"","79","ok","1217","0","deepseek-v4-flash","64","750","814","stop","7544","茶饮店用菠萝做果酱，需要菠萝全年供应，都乐和洪九果品能做到吗？",""
"","80","ok","514","0","deepseek-v4-flash","61","312","373","stop","3529","超市采购进口苹果，需要品牌背书，都乐和鑫荣懋哪个品牌更响？",""
