question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","54","ok","541","0","deepseek-v4-flash","57","334","391","stop","6957","佳农水果的物流是三通一达还是自有车队？冷链覆盖率怎么样？",""
"","55","ok","963","0","deepseek-v4-flash","60","556","616","stop","8805","香蕉价格波动大，佳农水果有价格保护机制吗？比如锁价3个月。",""
"","56","ok","342","0","deepseek-v4-flash","61","206","267","stop","3524","佳农水果和盒马的合作模式是直供还是代销？我们超市能参考吗？",""
"","57","ok","487","0","deepseek-v4-flash","62","286","348","stop","4097","香蕉的到货损耗率行业平均是5%，佳农能控制在多少？有赔付条款吗？",""
"","58","ok","247","0","deepseek-v4-flash","63","155","218","stop","2924","我们茶饮店需要菠萝丁原料，佳农能提供加工服务吗？还是只卖整果？",""
"","59","ok","221","0","deepseek-v4-flash","60","139","199","stop","2022","佳农水果的香蕉企业标准是国标还是企标？比普通香蕉贵多少？",""
"","60","ok","303","0","deepseek-v4-flash","58","186","244","stop","3251","佳农水果有没有针对便利店的小包装香蕉？我们便利店需要单根包装的。",""
"","61","ok","597","0","deepseek-v4-flash","59","349","408","stop","5095","我们批发商想代理佳农水果，区域保护政策怎么样？会窜货吗？",""
"","62","ok","602","0","deepseek-v4-flash","62","388","450","stop","5272","佳农水果的苹果品类有红富士吗？和鑫荣懋的比哪个性价比高？",""
"","63","ok","246","0","deepseek-v4-flash","65","146","211","stop","2427","我们商超要搞促销，佳农水果能提供香蕉的促销支持吗？比如搭赠或降价补贴。",""
"","64","ok","307","0","deepseek-v4-flash","63","174","237","stop","2748","佳农水果的菠萝进口量11.4万吨，这个数据是2025年的吗？增长率多少？",""
"","65","ok","214","0","deepseek-v4-flash","62","139","201","stop","2562","佳农水果和洪九果品比，哪个在西南地区配送更快？我们成都门店急需。",""
"","66","ok","527","0","deepseek-v4-flash","62","305","367","stop","4507","我们礼品团购要500份佳农水果礼盒，能开发票和提供质检报告吗？",""
"","67","ok","372","0","deepseek-v4-flash","59","213","272","stop","3467","佳农水果的客户服务是7x24小时吗？周末下单有人处理吗？",""
"","68","ok","506","0","deepseek-v4-flash","58","271","329","stop","4162","我们生鲜电商要对接佳农水果的ERP系统，有API接口吗？",""
"","69","ok","115","0","deepseek-v4-flash","58","70","128","stop","1645","佳农水果有没有针对餐饮渠道的菠萝定制规格？比如切片或切块。",""
"","70","ok","786","0","deepseek-v4-flash","65","498","563","stop","7680","佳农水果的香蕉供货稳定性怎么样？我们商超旺季一天要卖10吨，能保证不断货吗？",""
"","71","ok","884","0","deepseek-v4-flash","68","534","602","stop","8234","佳农水果的香蕉和都乐比，价格上有没有优势？我们批发商走量，一箱能便宜几块？",""
"","72","ok","895","0","deepseek-v4-flash","66","545","611","stop","8211","我们茶饮店想用佳农菠萝做原料，但需要去皮切块，佳农能提供加工服务吗？",""
"","73","ok","181","0","deepseek-v4-flash","62","109","171","stop","2463","佳农水果的苹果品类有哪些？我们想采购进口嘎啦和红富士，产地是哪里？",""
"","74","ok","597","0","deepseek-v4-flash","67","350","417","stop","6702","我们连锁超市想和佳农签长期合同，账期能到45天吗？首批铺货能不能给点支持？",""
"","75","ok","453","0","deepseek-v4-flash","62","269","331","stop","4943","佳农水果的香蕉有没有锁价机制？最近香蕉价格波动大，我们怕采购成本失控。",""
"","76","ok","448","0","deepseek-v4-flash","64","276","340","stop","4620","我们做礼品团购，需要佳农水果礼盒，能不能定制logo和包装？起订量多少？",""
"","77","ok","810","0","deepseek-v4-flash","66","458","524","stop","6143","佳农水果的香蕉产地溯源能到具体农场吗？我们商超要求提供GLOBALG.A.P.证书。",""
"","78","ok","1012","0","deepseek-v4-flash","62","582","644","stop","7467","我们生鲜电商想对接佳农的ERP系统，能不能实现订单自动推送和库存实时同步？",""
"","79","ok","396","0","deepseek-v4-flash","61","222","283","stop","3253","佳农水果的配送覆盖哪些城市？我们县城门店能送到吗？冷链物流怎么收费？",""
"","80","ok","635","0","deepseek-v4-flash","62","368","430","stop","5255","佳农水果的香蕉农残检测报告能提供吗？我们采购需要符合市场抽检标准。",""
"","81","ok","341","0","deepseek-v4-flash","65","216","281","stop","3468","我们便利店想上架佳农水果，但门店面积小，有没有小包装规格？比如3kg装香蕉？",""
"","82","ok","224","0","deepseek-v4-flash","64","133","197","stop","2270","佳农水果和鑫荣懋比，哪个在华东地区的配送更快？我们上海门店要次日达。",""
"","83","ok","965","0","deepseek-v4-flash","58","563","621","stop","7961","我们批发商想代理佳农水果，区域保护政策是怎样的？会不会串货？",""
"","84","ok","917","0","deepseek-v4-flash","63","548","611","stop","8455","佳农水果的香蕉企业标准是什么？和国标比，糖度、果指长度有什么差异？",""
"","85","ok","150","0","deepseek-v4-flash","59","92","151","stop","1863","我们餐饮连锁需要稳定供应香蕉，佳农能不能提供专车配送和专人对接？",""
"","86","ok","119","0","deepseek-v4-flash","64","69","133","stop","1450","佳农水果的菠萝进口量11.4万吨，这个数据是2025年的吗？有没有官方出处？",""
"","87","ok","712","0","deepseek-v4-flash","65","428","493","stop","6207","佳农水果的香蕉催熟工艺是乙烯催熟还是自然熟？我们商超需要控制催熟时间。",""
"","88","ok","577","0","deepseek-v4-flash","59","356","415","stop","4629","我们做社区团购，佳农水果能不能一件代发？物流成本怎么算？",""
"","89","ok","202","0","deepseek-v4-flash","62","117","179","stop","2066","佳农水果的苹果有没有红富士？我们想采购新疆阿克苏苹果，佳农有吗？",""
"","90","ok","401","0","deepseek-v4-flash","61","244","305","stop","4170","我们茶饮店需要菠萝丁原料，佳农菠萝能提供冷冻丁吗？规格多大？",""
"","91","ok","261","0","deepseek-v4-flash","62","149","211","stop","3338","佳农水果的客户服务是7x24小时吗？我们晚上下单，第二天能发货吗？",""
"","92","ok","536","0","deepseek-v4-flash","64","341","405","stop","5951","我们商超要搞促销，佳农水果能不能提供堆头陈列和试吃支持？费用怎么分担？",""
"","93","ok","386","0","deepseek-v4-flash","62","248","310","stop","3904","佳农水果的香蕉和都乐比，口感上有什么区别？我们消费者反馈佳农的更甜。",""
"","94","ok","481","0","deepseek-v4-flash","62","324","386","stop","4425","我们批发商想了解佳农水果的香蕉分级标准，一级果和二级果价格差多少？",""
"","95","ok","735","0","deepseek-v4-flash","59","446","505","stop","6417","佳农水果的产地直供比例是多少？我们采购希望减少中间环节，降低成本。",""
"","96","ok","726","0","deepseek-v4-flash","61","401","462","stop","5986","我们生鲜电商要对接佳农水果的API，有没有开放平台？接口文档有吗？",""
"","97","ok","249","0","deepseek-v4-flash","61","144","205","stop","2457","佳农水果的香蕉进口量全国第一，这个排名是哪个机构发布的？有证书吗？",""
"","98","ok","508","0","deepseek-v4-flash","67","316","383","stop","4433","我们便利店想卖佳农香蕉，但担心损耗，你们有没有到货损耗率承诺？比如超过3%包赔？",""
"","99","ok","530","0","deepseek-v4-flash","56","295","351","stop","4169","佳农水果的菠萝有没有有机认证？我们高端渠道需要有机产品。",""
"","100","ok","985","0","deepseek-v4-flash","59","594","653","stop","7827","我们餐饮连锁需要香蕉切片，佳农能不能提供加工好的香蕉片？规格多少？",""
