question_id,platform,status,ok,text_length,reference_items,citation_markers,source_nodes,url,prompt,error
"q10","yuanbao","ok","true","4950","18","17","59","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVUvwf4AQS","医生建议用美敦力LigaSure、Valleylab、Tri-Staple、缝合与疝修补产品，它安全吗？有什么副作用、替代方案和术后注意事项？",""
"q11","deepseek","ok","true","2550","0","0","0","https://chat.deepseek.com/a/chat/s/f6279244-8694-4221-a068-643148858b8f","成为美敦力医疗外科：外科机器人/Hugo RAS/数字手术经销商需要什么资质？区域保护、培训、合规红线、售后责任怎么划分？",""
"q11","yuanbao","ok","true","4609","12","6","36","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVV3Vef1xQ","成为美敦力医疗外科：外科机器人/Hugo RAS/数字手术经销商需要什么资质？区域保护、培训、合规红线、售后责任怎么划分？",""
"q12","deepseek","ok","true","3374","0","0","0","https://chat.deepseek.com/a/chat/s/9804de7c-d6af-4255-a2f9-5114de2837cf","糖尿病：胰岛素泵/CGM/闭环系统里，美敦力和Abbott FreeStyle Libre、其他竞品怎么选？",""
"q12","yuanbao","ok","true","5924","14","17","51","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVBoZ0yzR","糖尿病：胰岛素泵/CGM/闭环系统里，美敦力和Abbott FreeStyle Libre、其他竞品怎么选？",""
"q13","deepseek","ok","true","2697","0","0","0","https://chat.deepseek.com/a/chat/s/c66b9163-92cf-4ebd-aaf0-1492aede9c67","医生建议用美敦力MiniMed、Simplera、CareLink糖尿病管理，它安全吗？有什么副作用、替代方案",""
"q13","yuanbao","ok","true","5129","15","15","51","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVJowcJPs","医生建议用美敦力MiniMed、Simplera、CareLink糖尿病管理，它安全吗？有什么副作用、替代方案",""
"q14","deepseek","ok","true","2813","0","0","0","https://chat.deepseek.com/a/chat/s/ff12d074-8568-4be5-9abf-655e3db75e34","医生建议用美敦力CareLink、Touch Surgery、远程随访、数据分析与培训平台，它安全吗？有什么副作用、替代方案",""
"q14","yuanbao","ok","true","5698","23","6","60","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVR5SIW2q","医生建议用美敦力CareLink、Touch Surgery、远程随访、数据分析与培训平台，它安全吗？有什么副作用、替代方案",""
"q15","deepseek","ok","true","2626","0","0","0","https://chat.deepseek.com/a/chat/s/bd144670-cbc3-4f41-80d5-abcfea08b6e7","企业合作/渠道/教育培训/服务里，美敦力和大型跨国器械公司、其他竞品怎么选？请从临床证据、价格、售后、学习曲线比较。",""
"q15","yuanbao","ok","true","4194","12","14","44","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVXuZ7UWG","企业合作/渠道/教育培训/服务里，美敦力和大型跨国器械公司、其他竞品怎么选？请从临床证据、价格、售后、学习曲线比较。",""
"q16","deepseek","ok","true","2420","0","0","0","https://chat.deepseek.com/a/chat/s/9d07af54-4a31-4976-aefb-01eb65eaf129","医生说要用美敦力，我在网上看到召回和负面新闻，还能放心吗？",""
"q16","yuanbao","ok","true","4103","17","5","47","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVf2DGHaq","医生说要用美敦力，我在网上看到召回和负面新闻，还能放心吗？",""
